query,intent,entities
"Show me all ATM withdrawals.",get_transactions,"[{'entity': 'transaction_type', 'value': 'ATM withdrawals'}]"
"I need to apply for a construction loan.",open_account,"[{'entity': 'product', 'value': 'construction loan'}]"
"My online statement is missing.",contact_support,"[{'entity': 'problem', 'value': 'online statement missing'}]"
"Balance of my second savings account.",get_balance,"[{'entity': 'account_type', 'value': 'second savings account'}]"
"Move $1000 to my emergency savings.",transfer_money,"[{'entity': 'amount', 'value': '1000'}, {'entity': 'destination_account', 'value': 'emergency savings'}]"
"List transactions by transaction type.",get_transactions,"[{'entity': 'sort_by', 'value': 'transaction type'}]"
"Tell me about student loan consolidation.",open_account,"[{'entity': 'product', 'value': 'student loan consolidation'}]"
"Need a physical address for a branch.",contact_support,"[{'entity': 'location_type', 'value': 'branch'}]"
"How much is in my travel account?",get_balance,"[{'entity': 'account_type', 'value': 'travel account'}]"
"Transfer $25 from checking to account 888888.",transfer_money,"[{'entity': 'amount', 'value': '25'}, {'entity': 'source_account', 'value': 'checking'}, {'entity': 'destination_account', 'value': '888888'}]"
"Show me transactions for the last quarter.",get_transactions,"[{'entity': 'timeframe', 'value': 'last quarter'}]"
"I want to open a new money market.",open_account,"[{'entity': 'product', 'value': 'money market'}]"
"I can't authorize a transfer.",contact_support,"[{'entity': 'problem', 'value': 'transfer authorization'}]"
"Current balance for joint checking account.",get_balance,"[{'entity': 'account_type', 'value': 'joint checking account'}]"
"Move 5 dollars to my wife's account on Monday.",transfer_money,"[{'entity': 'amount', 'value': '5'}, {'entity': 'recipient', 'value': 'wife'}, {'entity': 'timeframe', 'value': 'Monday'}]"
"List transactions only for large purchases.",get_transactions,"[{'entity': 'amount_type', 'value': 'large purchases'}]"
"Apply for a personal line of credit.",open_account,"[{'entity': 'product', 'value': 'personal line of credit'}]"
"Need to talk to a supervisor.",contact_support,"[{'entity': 'role', 'value': 'supervisor'}]"
"What is the balance on my mortgage account 543210?",get_balance,"[{'entity': 'account_type', 'value': 'mortgage'}, {'entity': 'account_number', 'value': '543210'}]"
"Transfer $120 to account 100000.",transfer_money,"[{'entity': 'amount', 'value': '120'}, {'entity': 'destination_account', 'value': '100000'}]"
"Show me transactions between June and July.",get_transactions,"[{'entity': 'timeframe', 'value': 'June and July'}]"
"I want to apply for an apartment loan.",open_account,"[{'entity': 'product', 'value': 'apartment loan'}]"
"I have a security concern.",contact_support,"[{'entity': 'topic', 'value': 'security concern'}]"
"What's the balance on my children's savings?",get_balance,"[{'entity': 'account_type', 'value': 'children\'s savings'}]"
"Transfer $50 from my primary checking to external account 123.",transfer_money,"[{'entity': 'amount', 'value': '50'}, {'entity': 'source_account', 'value': 'primary checking'}, {'entity': 'destination_account', 'value': '123'}]"
"Show me all pending charges.",get_transactions,"[{'entity': 'status', 'value': 'pending charges'}]"
"Tell me about a new savings account.",open_account,"[{'entity': 'product', 'value': 'savings account'}]"
"I need to cancel a payment.",contact_support,"[{'entity': 'action', 'value': 'cancel payment'}]"
"Check balance for retirement account.",get_balance,"[{'entity': 'account_type', 'value': 'retirement account'}]"
"Move $1000 immediately to my brokerage.",transfer_money,"[{'entity': 'amount', 'value': '1000'}, {'entity': 'destination_account', 'value': 'brokerage'}, {'entity': 'timeframe', 'value': 'immediately'}]"
"List transactions sorted by merchant name.",get_transactions,"[{'entity': 'sort_by', 'value': 'merchant name'}]"
"How to apply for an equity loan.",open_account,"[{'entity': 'product', 'value': 'equity loan'}]"
"I have a question about my debit card.",contact_support,"[{'entity': 'topic', 'value': 'debit card'}]"
"Savings account balance is what today?",get_balance,"[{'entity': 'account_type', 'value': 'savings'}, {'entity': 'timeframe', 'value': 'today'}]"
"Transfer 20 dollars every Sunday.",transfer_money,"[{'entity': 'amount', 'value': '20'}, {'entity': 'frequency', 'value': 'Sunday'}]"
"Show me transactions for the whole year.",get_transactions,"[{'entity': 'timeframe', 'value': 'whole year'}]"
"New application for a secured personal loan.",open_account,"[{'entity': 'product', 'value': 'secured personal loan'}]"
"Need a representative for technical help.",contact_support,"[{'entity': 'support_type', 'value': 'technical'}]"
"What is the available balance for my Visa card?",get_balance,"[{'entity': 'account_type', 'value': 'Visa card'}]"
"Move 500 to my external student loan account.",transfer_money,"[{'entity': 'amount', 'value': '500'}, {'entity': 'destination_type', 'value': 'external student loan account'}]"
"Show me all refunds.",get_transactions,"[{'entity': 'transaction_type', 'value': 'refunds'}]"
"I want to open a health savings account.",open_account,"[{'entity': 'product', 'value': 'health savings account'}]"
"I have an issue with a wire transfer.",contact_support,"[{'entity': 'problem', 'value': 'wire transfer'}]"
"Current funds in my joint savings account.",get_balance,"[{'entity': 'account_type', 'value': 'joint savings account'}]"
"Transfer $10 to my daughter on the 10th.",transfer_money,"[{'entity': 'amount', 'value': '10'}, {'entity': 'recipient', 'value': 'daughter'}, {'entity': 'timeframe', 'value': '10th'}]"
"List transactions under $10.",get_transactions,"[{'entity': 'amount_range', 'value': 'under $10'}]"
"How to get a new credit card application.",open_account,"[{'entity': 'product', 'value': 'credit card application'}]"
"Can I speak with a financial advisor?",contact_support,"[{'entity': 'role', 'value': 'financial advisor'}]"
"Balance of account 000001.",get_balance,"[{'entity': 'account_number', 'value': '000001'}]"
"Schedule a transfer of $80 every Tuesday.",transfer_money,"[{'entity': 'amount', 'value': '80'}, {'entity': 'frequency', 'value': 'Tuesday'}]"
"Show me all cancelled transactions.",get_transactions,"[{'entity': 'status', 'value': 'cancelled'}]"
"I need to open a trust for my children.",open_account,"[{'entity': 'product', 'value': 'trust for children'}]"
"I need assistance with my mortgage payment.",contact_support,"[{'entity': 'topic', 'value': 'mortgage payment'}]"
"What's the balance in my investment bond account?",get_balance,"[{'entity': 'account_type', 'value': 'investment bond account'}]"
"Transfer $150 to my brother's account.",transfer_money,"[{'entity': 'amount', 'value': '150'}, {'entity': 'recipient', 'value': 'brother'}]"
"Show me all debits from last month.",get_transactions,"[{'entity': 'transaction_type', 'value': 'debits'}, {'entity': 'timeframe', 'value': 'last month'}]"
"I want to apply for a secured personal loan.",open_account,"[{'entity': 'product', 'value': 'secured personal loan'}]"
"I received a warning about suspicious activity.",contact_support,"[{'entity': 'problem', 'value': 'suspicious activity'}]"
"Current funds in checking account.",get_balance,"[{'entity': 'account_type', 'value': 'checking account'}]"
"Move $25 to my brokerage account next week.",transfer_money,"[{'entity': 'amount', 'value': '25'}, {'entity': 'destination_account', 'value': 'brokerage account'}, {'entity': 'timeframe', 'value': 'next week'}]"
"List transactions between $200 and $500.",get_transactions,"[{'entity': 'amount_range', 'value': '200 and 500'}]"
"How to open a custodial savings account.",open_account,"[{'entity': 'product', 'value': 'custodial savings account'}]"
"Need to contact the corporate office.",contact_support,"[{'entity': 'location_type', 'value': 'corporate office'}]"
"What is the total amount in my accounts?",get_balance,"[]"
"Transfer 50 dollars from my main account to savings now.",transfer_money,"[{'entity': 'amount', 'value': '50'}, {'entity': 'source_account', 'value': 'main account'}, {'entity': 'destination_account', 'value': 'savings'}, {'entity': 'timeframe', 'value': 'now'}]"
"Show me the last 30 days of transactions.",get_transactions,"[{'entity': 'timeframe', 'value': 'last 30 days'}]"
"I need to apply for a business loan.",open_account,"[{'entity': 'product', 'value': 'business loan'}]"
"My credit score is incorrect.",contact_support,"[{'entity': 'problem', 'value': 'credit score incorrect'}]"
"Balance of account 333333.",get_balance,"[{'entity': 'account_number', 'value': '333333'}]"
"Transfer $300 to my external investment account on the 1st of the month.",transfer_money,"[{'entity': 'amount', 'value': '300'}, {'entity': 'destination_type', 'value': 'external investment account'}, {'entity': 'timeframe', 'value': '1st of the month'}]"
"Show me all transactions from last December.",get_transactions,"[{'entity': 'timeframe', 'value': 'last December'}]"
"I want to open a new CD for 6 months.",open_account,"[{'entity': 'product', 'value': 'CD'}, {'entity': 'timeframe', 'value': '6 months'}]"
"Can I speak with a loan officer?",contact_support,"[{'entity': 'role', 'value': 'loan officer'}]"
"What's the balance on my overdraft protection?",get_balance,"[{'entity': 'account_type', 'value': 'overdraft protection'}]"
"Move $100 from my primary account to my wife's checking account.",transfer_money,"[{'entity': 'amount', 'value': '100'}, {'entity': 'source_account', 'value': 'primary'}, {'entity': 'destination_account', 'value': 'wife\'s checking'}]"
"List transactions by merchant and date.",get_transactions,"[{'entity': 'sort_by', 'value': 'merchant and date'}]"
"How to apply for a small business loan.",open_account,"[{'entity': 'product', 'value': 'small business loan'}]"
"I need assistance with fraud detection.",contact_support,"[{'entity': 'topic', 'value': 'fraud detection'}]"
"Current amount in my high-yield checking.",get_balance,"[{'entity': 'account_type', 'value': 'high-yield checking'}]"
"Schedule a transfer of $50 every month on the 10th.",transfer_money,"[{'entity': 'amount', 'value': '50'}, {'entity': 'frequency', 'value': 'monthly'}, {'entity': 'timeframe', 'value': '10th'}]"
"Show me all transactions greater than $1000.",get_transactions,"[{'entity': 'amount_range', 'value': 'greater than $1000'}]"
"Tell me about a new credit line.",open_account,"[{'entity': 'product', 'value': 'credit line'}]"
"My bank statement has an error.",contact_support,"[{'entity': 'problem', 'value': 'bank statement error'}]"
"What is my current civil score?",get_user_info,"[{'entity': 'info_type', 'value': 'civil score'}]"
"Can I check my credit score for free?",get_user_info,"[{'entity': 'info_type', 'value': 'credit score'}]"
"I need to know the interest rate for a mortgage.",get_info_policy,"[{'entity': 'policy_topic', 'value': 'interest rate'}, {'entity': 'product', 'value': 'mortgage'}]"
"What are the fees for an international wire transfer?",get_info_policy,"[{'entity': 'policy_topic', 'value': 'fees'}, {'entity': 'transaction_type', 'value': 'international wire transfer'}]"
"Tell me the name on account 4567.",get_user_info,"[{'entity': 'info_type', 'value': 'name'}, {'entity': 'account_number', 'value': '4567'}]"
"I need information on applying for an auto loan.",open_account,"[{'entity': 'product', 'value': 'auto loan'}]"
"What are the different types of loans you offer?",open_account,"[{'entity': 'product', 'value': 'loans'}]"
"Can you give me my current address on file?",get_user_info,"[{'entity': 'info_type', 'value': 'address'}]"
"What is the maximum interest rate on a savings account?",get_info_policy,"[{'entity': 'policy_topic', 'value': 'interest rate'}, {'entity': 'account_type', 'value': 'savings'}]"
"Show me my last 5 transactions on my Visa card.",get_transactions,"[{'entity': 'transaction_count', 'value': '5'}, {'entity': 'account_type', 'value': 'Visa card'}]"
"What is the policy on overdraft fees?",get_info_policy,"[{'entity': 'policy_topic', 'value': 'overdraft fees'}]"
"Can I get a new personal loan?",open_account,"[{'entity': 'product', 'value': 'personal loan'}]"
"What is my Civil Score?",get_user_info,"[{'entity': 'info_type', 'value': 'Civil Score'}]"
"I want to see my transaction history for my checking account.",get_transactions,"[{'entity': 'account_type', 'value': 'checking'}]"
"What is the interest rate for my credit card?",get_info_policy,"[{'entity': 'policy_topic', 'value': 'interest rate'}, {'entity': 'account_type', 'value': 'credit card'}]"
"How much do I owe on my car loan?",get_balance,"[{'entity': 'account_type', 'value': 'car loan'}]"
"I need the full transaction history for last year.",get_transactions,"[{'entity': 'timeframe', 'value': 'last year'}]"
"What is my credit score right now?",get_user_info,"[{'entity': 'info_type', 'value': 'credit score'}, {'entity': 'timeframe', 'value': 'right now'}]"
"Are there any annual fees on my account?",get_info_policy,"[{'entity': 'policy_topic', 'value': 'annual fees'}]"
"I want to transfer funds from my primary to my IRA.",transfer_money,"[{'entity': 'source_account', 'value': 'primary'}, {'entity': 'destination_account', 'value': 'IRA'}]"
"How do I apply for a small business loan?",open_account,"[{'entity': 'product', 'value': 'small business loan'}]"
"Can I check my current Civil Score status?",get_user_info,"[{'entity': 'info_type', 'value': 'Civil Score status'}]"
"Tell me about the interest rates on a jumbo mortgage.",get_info_policy,"[{'entity': 'policy_topic', 'value': 'interest rates'}, {'entity': 'product', 'value': 'jumbo mortgage'}]"
"Show me the last 10 purchases I made.",get_transactions,"[{'entity': 'transaction_count', 'value': '10'}]"
"My name is John Doe. Is that what you have on file?",get_user_info,"[{'entity': 'info_type', 'value': 'name'}]"
"Where is the nearest branch with a loan officer?",contact_support,"[{'entity': 'location_type', 'value': 'branch'}, {'entity': 'role', 'value': 'loan officer'}]"
"I need the full list of fees for my checking account.",get_info_policy,"[{'entity': 'policy_topic', 'value': 'fees'}, {'entity': 'account_type', 'value': 'checking account'}]"
"I need to dispute a credit score report.",contact_support,"[{'entity': 'topic', 'value': 'credit score report'}]"
